hybrid_minus_s2cloudless,hybrid_minus_cloudscoreplus,s2cloudless_minus_cloudscoreplus
-0.04496915659854456,-0.21679144618770946,-0.1718222895891649
-0.05450486813925248,-0.2552188455826753,-0.20071397744342284
-0.10185690455095997,-0.19417458952660388,-0.09231768497564391
-0.059632136164687544,-0.20036759281442856,-0.14073545664974102
-0.0847902128761735,-0.05007407944710507,0.03471613342906843
-0.10024016535454905,-0.20825873248727889,-0.10801856713272984
-0.0875037768568197,-0.21579973145405956,-0.12829595459723986
-0.03347739514814807,-0.2254974936149381,-0.19202009846679002
-0.07389872293898919,-0.23911230690499163,-0.16521358396600244
-0.1069112926763513,-0.22168174451897416,-0.11477045184262286
-0.08810769297766474,-0.22384741757110443,-0.1357397245934397
-0.10909588901140044,-0.12341394669535682,-0.014318057683956387
-0.1771830261532868,-0.15316983705695408,0.02401318909633271
-0.03583633195482394,-0.19619791121867058,-0.16036157926384664
-0.11103869796715188,-0.22794651509586145,-0.11690781712870957
-0.10152954105401873,-0.23120856990197036,-0.12967902884795163
-0.09132876190178046,-0.18647722996214366,-0.0951484680603632
-0.08819504408854928,-0.22789013085573406,-0.13969508676718478
-0.0025185990248247636,-0.1507562554635773,-0.14823765643875253
-0.06147982860265455,-0.1860932878744337,-0.12461345927177914
-0.2068323736436023,-0.18762703810564207,0.019205335537960222
-0.06207748737335245,-0.2661109087426459,-0.20403342136929348
-0.17831443336192726,-0.28076639208276,-0.10245195872083274
-0.018088166192443134,-0.2225311432782336,-0.20444297708579046
-0.07897021565951123,-0.20297714517000787,-0.12400692951049663
-0.11694669582414219,-0.24588990415322665,-0.12894320832908446
-0.009589764130683187,-0.05194623860029729,-0.0423564744696141
-0.05102581438679532,-0.2672963221785846,-0.2162705077917893
-0.07967133552956418,-0.107656274090488,-0.027984938560923822
-0.03229463055983853,-0.0860578991098038,-0.05376326854996527
-0.07872175135679377,-0.19301085520641004,-0.11428910384961627
-0.05871995768838173,-0.26119028013489326,-0.20247032244651153
-0.06245983902687202,-0.19115084027717744,-0.12869100125030541
-0.11902905191275082,-0.1215095757218872,-0.0024805238091363813
-0.1615671305968262,-0.280085352855141,-0.11851822225831482
0.01337690751424081,-0.17081766931985598,-0.1841945768340968
-0.18380057165897373,-0.294920517264635,-0.11111994560566124
-0.09793788530238268,-0.22273880914322197,-0.1248009238408393
-0.10991658059942316,-0.1325497629446219,-0.022633182345198732
-0.04819862583535717,-0.21539802511788037,-0.1671993992825232
-0.05871995768838173,-0.10181969145131159,-0.04309973376292986
-0.018695580784596266,-0.09584512180057853,-0.07714954101598226
-0.096264606168947,-0.13046343250679027,-0.03419882633784327
-0.18877280055446005,-0.32385510293039815,-0.1350823023759381
-0.08778906525306268,-0.23601576450271822,-0.14822669924965554
-0.09826765179414959,-0.155339890222774,-0.05707223842862441
-0.12805952293979705,-0.1876048925866558,-0.05954536964685875
-0.0234790157433582,-0.13916316876520224,-0.11568415302184404
-0.06971002355773198,-0.20760577356419535,-0.13789575000646337
-0.08326429574265515,-0.05253446944820267,0.030729826294452478
-0.10413015396487857,-0.21501804567911215,-0.11088789171423358
-0.11812062680239227,-0.10374032272574446,0.01438030407664781
-0.07593396585912376,-0.10267205028677606,-0.026738084427652298
-0.1694643103789875,-0.3003269882325533,-0.1308626778535658
-0.11630898879281215,-0.10377201053007135,0.012536978262740806
-0.26698682324270684,-0.4180902729500766,-0.15110344970736977
-0.17450147417135708,-0.2079229774030264,-0.033421503231669314
-0.12943690993763907,-0.18651027258639435,-0.05707336264875529
-0.1443065253382294,-0.25576986718943845,-0.11146334185120904
-0.005679838804325488,-0.2236680260227693,-0.21798818721844382
-0.10638295682386284,-0.2880160343028845,-0.1816330774790217
-0.0929098226918072,-0.14696146874789795,-0.05405164605609075
-0.00157902988336589,-0.10925983252132399,-0.1076808026379581
-0.0019258483691861616,-0.10993734993945381,-0.10801150157026765
0.04209763237775849,-0.07380553800635004,-0.11590317038410852
-0.08448217498455907,-0.23795086317775566,-0.1534686881931966
-0.10908811820578046,-0.18059016594563437,-0.07150204773985391
-0.08551313880751027,-0.19388737653237098,-0.10837423772486071
-0.08486582744259802,-0.08105196243000795,0.0038138650125900675
-0.054382004183682886,-0.20523882880498445,-0.15085682462130157
-0.0847902128761735,-0.14696146874789795,-0.06217125587172445
-0.11955100040323763,-0.2851860831359164,-0.1656350827326788
-0.07352908142515985,-0.22313547705071607,-0.14960639562555622
0.02608321314184714,-0.19845296006309754,-0.22453617320494468
-0.10653199910367667,-0.25556890255089665,-0.14903690344721998
-0.13772336347010372,-0.25731342830087056,-0.11959006483076684
0.02847428328699414,-0.09806444452965507,-0.1265387278166492
-0.13612253959418646,-0.13759850830722115,-0.001475968713034681
-0.07458452469583704,-0.1071537306293876,-0.03256920593355056
-0.10604931960059943,-0.21014226857132123,-0.1040929489707218
-0.06830933838658992,-0.20804675275626988,-0.13973741436967996
-0.1295971457512022,-0.3229303667830268,-0.19333322103182454
-0.09923605364018884,-0.1590099554791084,-0.05977390183891956
-0.15669968281240776,-0.13273203901873398,0.023967643793673776
-0.07997919080253701,-0.21503800131556128,-0.13505881051302426
-0.1309396964693037,-0.10181911648744885,0.029120579981854855
-0.17430711937999965,-0.27747590263408395,-0.1031687832540843
-0.04581036675067257,-0.2169853180783266,-0.17117495132765403
-0.05502300282056116,-0.2041725259995565,-0.14914952317899532
-0.029925083281647336,-0.19258605920693705,-0.16266097592528972
-0.17562416770264347,-0.3113508572909597,-0.13572668958831619
-0.05373476318548015,-0.19417458952660388,-0.14043982634112373
-0.10105751441208644,-0.1341348271314069,-0.03307731271932046
-0.03436682128559668,-0.1525287744305801,-0.11816195314498343
-0.08677543925626668,-0.2582816036084122,-0.1715061643521455
-0.15035798180943516,-0.2506577273607113,-0.10029974555127613
-0.10537108885243318,-0.20305638487682176,-0.09768529602438858
-0.05944804545350896,-0.20390072829591482,-0.14445268284240587
-0.08904891747503468,-0.19729500379441978,-0.1082460863193851
-0.015066487569578957,-0.1100007157631574,-0.09493422819357844
-0.15303022512423564,-0.2820823112033404,-0.12905208607910473
-0.1071620388300773,-0.21456658289295705,-0.10740454406287975
-0.13311189605103602,-0.09369453741487643,0.03941735863615958
-0.031125210321810315,-0.1196290975699239,-0.08850388724811359
